Date : 2025-11-30 13:09:03
Directory : /home/denis/vscode_projects/project-game-atlas/packages/frontend
Total : 189 files,  2251 codes, 0 comments, 283 blanks, all 2534 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         40 |      1,708 |          0 |        226 |      1,934 |
| TypeScript     |        147 |        536 |          0 |         57 |        593 |
| JSON           |          2 |          7 |          0 |          0 |          7 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                                |        189 |      2,251 |          0 |        283 |      2,534 |
| . (Files)                                                                                                                                                                                                        |          2 |          7 |          0 |          0 |          7 |
| src                                                                                                                                                                                                              |        187 |      2,244 |          0 |        283 |      2,527 |
| src/app                                                                                                                                                                                                          |          2 |         -2 |          0 |         -1 |         -3 |
| src/app/router                                                                                                                                                                                                   |          2 |         -2 |          0 |         -1 |         -3 |
| src/app/router (Files)                                                                                                                                                                                           |          1 |          1 |          0 |          0 |          1 |
| src/app/router/protected-route                                                                                                                                                                                   |          1 |         -3 |          0 |         -1 |         -4 |
| src/entities                                                                                                                                                                                                     |         64 |        413 |          0 |         44 |        457 |
| src/entities/game                                                                                                                                                                                                |         12 |        131 |          0 |         16 |        147 |
| src/entities/game/api                                                                                                                                                                                            |          2 |          8 |          0 |          2 |         10 |
| src/entities/game/model                                                                                                                                                                                          |          5 |         31 |          0 |          1 |         32 |
| src/entities/game/model/hooks                                                                                                                                                                                    |          2 |         12 |          0 |          1 |         13 |
| src/entities/game/model/interfaces                                                                                                                                                                               |          3 |         19 |          0 |          0 |         19 |
| src/entities/game/ui                                                                                                                                                                                             |          5 |         92 |          0 |         13 |        105 |
| src/entities/game/ui (Files)                                                                                                                                                                                     |          1 |          1 |          0 |          1 |          2 |
| src/entities/game/ui/games-filter                                                                                                                                                                                |          2 |         32 |          0 |          5 |         37 |
| src/entities/game/ui/paginte-game-item                                                                                                                                                                           |          2 |         59 |          0 |          7 |         66 |
| src/entities/genre                                                                                                                                                                                               |         14 |         67 |          0 |          8 |         75 |
| src/entities/genre (Files)                                                                                                                                                                                       |          1 |          2 |          0 |          0 |          2 |
| src/entities/genre/api                                                                                                                                                                                           |          2 |          9 |          0 |          2 |         11 |
| src/entities/genre/model                                                                                                                                                                                         |          4 |         18 |          0 |          2 |         20 |
| src/entities/genre/model/hooks                                                                                                                                                                                   |          2 |         11 |          0 |          1 |         12 |
| src/entities/genre/model/interfaces                                                                                                                                                                              |          2 |          7 |          0 |          1 |          8 |
| src/entities/genre/ui                                                                                                                                                                                            |          7 |         38 |          0 |          4 |         42 |
| src/entities/genre/ui (Files)                                                                                                                                                                                    |          1 |          2 |          0 |          0 |          2 |
| src/entities/genre/ui/genre-badge                                                                                                                                                                                |          4 |         17 |          0 |          2 |         19 |
| src/entities/genre/ui/genre-badge (Files)                                                                                                                                                                        |          2 |         13 |          0 |          2 |         15 |
| src/entities/genre/ui/genre-badge/interfaces                                                                                                                                                                     |          2 |          4 |          0 |          0 |          4 |
| src/entities/genre/ui/genres-filter                                                                                                                                                                              |          2 |         19 |          0 |          2 |         21 |
| src/entities/keyword                                                                                                                                                                                             |         14 |         83 |          0 |          9 |         92 |
| src/entities/keyword (Files)                                                                                                                                                                                     |          1 |          2 |          0 |          0 |          2 |
| src/entities/keyword/api                                                                                                                                                                                         |          2 |         21 |          0 |          2 |         23 |
| src/entities/keyword/model                                                                                                                                                                                       |          8 |         40 |          0 |          5 |         45 |
| src/entities/keyword/model (Files)                                                                                                                                                                               |          1 |          1 |          0 |         -1 |          0 |
| src/entities/keyword/model/hooks                                                                                                                                                                                 |          2 |         12 |          0 |          1 |         13 |
| src/entities/keyword/model/interfaces                                                                                                                                                                            |          3 |          9 |          0 |          2 |         11 |
| src/entities/keyword/model/schemas                                                                                                                                                                               |          2 |         18 |          0 |          3 |         21 |
| src/entities/keyword/ui                                                                                                                                                                                          |          3 |         20 |          0 |          2 |         22 |
| src/entities/keyword/ui (Files)                                                                                                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| src/entities/keyword/ui/keywords-filter                                                                                                                                                                          |          2 |         19 |          0 |          2 |         21 |
| src/entities/personal-library                                                                                                                                                                                    |          9 |         46 |          0 |          3 |         49 |
| src/entities/personal-library (Files)                                                                                                                                                                            |          1 |          1 |          0 |          0 |          1 |
| src/entities/personal-library-game                                                                                                                                                                               |         12 |         81 |          0 |          7 |         88 |
| src/entities/personal-library-game (Files)                                                                                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| src/entities/personal-library-game/api                                                                                                                                                                           |          2 |          8 |          0 |          2 |         10 |
| src/entities/personal-library-game/model                                                                                                                                                                         |          9 |         72 |          0 |          5 |         77 |
| src/entities/personal-library-game/model (Files)                                                                                                                                                                 |          1 |          3 |          0 |          0 |          3 |
| src/entities/personal-library-game/model/enums                                                                                                                                                                   |          3 |         19 |          0 |          0 |         19 |
| src/entities/personal-library-game/model/hooks                                                                                                                                                                   |          2 |         23 |          0 |          1 |         24 |
| src/entities/personal-library-game/model/interfaces                                                                                                                                                              |          3 |         27 |          0 |          4 |         31 |
| src/entities/personal-library/api                                                                                                                                                                                |          2 |          8 |          0 |          2 |         10 |
| src/entities/personal-library/model                                                                                                                                                                              |          6 |         37 |          0 |          1 |         38 |
| src/entities/personal-library/model (Files)                                                                                                                                                                      |          1 |          3 |          0 |          0 |          3 |
| src/entities/personal-library/model/hooks                                                                                                                                                                        |          2 |         23 |          0 |          1 |         24 |
| src/entities/personal-library/model/interfaces                                                                                                                                                                   |          3 |         11 |          0 |          0 |         11 |
| src/entities/user                                                                                                                                                                                                |          3 |          5 |          0 |          1 |          6 |
| src/entities/user/api                                                                                                                                                                                            |          1 |          2 |          0 |          0 |          2 |
| src/entities/user/model                                                                                                                                                                                          |          2 |          3 |          0 |          1 |          4 |
| src/entities/user/model/dto                                                                                                                                                                                      |          1 |          2 |          0 |          1 |          3 |
| src/entities/user/model/hooks                                                                                                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| src/features                                                                                                                                                                                                     |         58 |        788 |          0 |        117 |        905 |
| src/features/auth                                                                                                                                                                                                |          1 |          5 |          0 |          2 |          7 |
| src/features/auth/register                                                                                                                                                                                       |          1 |          5 |          0 |          2 |          7 |
| src/features/auth/register/model                                                                                                                                                                                 |          1 |          5 |          0 |          2 |          7 |
| src/features/auth/register/model/hooks                                                                                                                                                                           |          1 |          5 |          0 |          2 |          7 |
| src/features/catalog                                                                                                                                                                                             |         16 |        193 |          0 |         24 |        217 |
| src/features/catalog/get-catalog-games                                                                                                                                                                           |         16 |        193 |          0 |         24 |        217 |
| src/features/catalog/get-catalog-games/api                                                                                                                                                                       |          1 |          7 |          0 |          0 |          7 |
| src/features/catalog/get-catalog-games/model                                                                                                                                                                     |          9 |          0 |          0 |         -1 |         -1 |
| src/features/catalog/get-catalog-games/model/const                                                                                                                                                               |          2 |          3 |          0 |          1 |          4 |
| src/features/catalog/get-catalog-games/model/enums                                                                                                                                                               |          2 |          8 |          0 |          0 |          8 |
| src/features/catalog/get-catalog-games/model/interfaces                                                                                                                                                          |          2 |          5 |          0 |          1 |          6 |
| src/features/catalog/get-catalog-games/model/schemas                                                                                                                                                             |          1 |         -8 |          0 |         -2 |        -10 |
| src/features/catalog/get-catalog-games/model/types                                                                                                                                                               |          2 |         -8 |          0 |         -1 |         -9 |
| src/features/catalog/get-catalog-games/ui                                                                                                                                                                        |          6 |        186 |          0 |         25 |        211 |
| src/features/catalog/get-catalog-games/ui/catalog-game-filters                                                                                                                                                   |          2 |         50 |          0 |          5 |         55 |
| src/features/catalog/get-catalog-games/ui/catalog-game-list                                                                                                                                                      |          2 |        117 |          0 |         19 |        136 |
| src/features/catalog/get-catalog-games/ui/catalog-list-game-empty                                                                                                                                                |          2 |         19 |          0 |          1 |         20 |
| src/features/personal-library                                                                                                                                                                                    |         24 |        300 |          0 |         47 |        347 |
| src/features/personal-library (Files)                                                                                                                                                                            |          1 |          1 |          0 |          0 |          1 |
| src/features/personal-library/get-personal-library-games                                                                                                                                                         |         23 |        299 |          0 |         47 |        346 |
| src/features/personal-library/get-personal-library-games (Files)                                                                                                                                                 |          1 |          2 |          0 |          0 |          2 |
| src/features/personal-library/get-personal-library-games/api                                                                                                                                                     |          2 |         20 |          0 |          2 |         22 |
| src/features/personal-library/get-personal-library-games/model                                                                                                                                                   |         13 |         91 |          0 |         18 |        109 |
| src/features/personal-library/get-personal-library-games/model (Files)                                                                                                                                           |          1 |          3 |          0 |          0 |          3 |
| src/features/personal-library/get-personal-library-games/model/const                                                                                                                                             |          2 |          3 |          0 |          1 |          4 |
| src/features/personal-library/get-personal-library-games/model/enums                                                                                                                                             |          2 |         10 |          0 |          0 |         10 |
| src/features/personal-library/get-personal-library-games/model/hooks                                                                                                                                             |          2 |         13 |          0 |          2 |         15 |
| src/features/personal-library/get-personal-library-games/model/interfaces                                                                                                                                        |          4 |         18 |          0 |          3 |         21 |
| src/features/personal-library/get-personal-library-games/model/schemas                                                                                                                                           |          2 |         44 |          0 |         12 |         56 |
| src/features/personal-library/get-personal-library-games/ui                                                                                                                                                      |          7 |        186 |          0 |         27 |        213 |
| src/features/personal-library/get-personal-library-games/ui (Files)                                                                                                                                              |          1 |          0 |          0 |          1 |          1 |
| src/features/personal-library/get-personal-library-games/ui/personal-library-game-list                                                                                                                           |          2 |        117 |          0 |         20 |        137 |
| src/features/personal-library/get-personal-library-games/ui/personal-library-game-list-empty                                                                                                                     |          2 |         19 |          0 |          1 |         20 |
